Table,Code,Description
PRIND,PROPERTY INDICATOR CODE,property_indicator
PRIND,0,MISCELLANEOUS
PRIND,10,SINGLE FAMILY RESIDENCE
PRIND,11,CONDOMINIUM
PRIND,20,COMMERCIAL
PRIND,21,DUPLEX
PRIND,22,APARTMENT
PRIND,23,"HOTEL, MOTEL"
PRIND,24,COMMERCIAL CONDOMINIUM
PRIND,25,RETAIL
PRIND,26,SERVICE
PRIND,27,OFFICE BUILDING
PRIND,28,WAREHOUSE
PRIND,29,FINANCIAL INSTITUTION
PRIND,30,HOSPITAL
PRIND,31,PARKING
PRIND,32,AMUSEMENT-RECREATION
PRIND,50,INDUSTRIAL
PRIND,51,INDUSTRIAL LIGHT
PRIND,52,INDUSTRIAL HEAVY
PRIND,53,TRANSPORT
PRIND,54,UTILITIES
PRIND,70,AGRICULTURAL
PRIND,80,VACANT
PRIND,90,EXEMPT
PRIND,RNG 10-19,RESIDENTIAL
PRIND,RNG 20-49,COMMERCIAL
PRIND,RNG 50-69,INDUSTRIAL
PRIND,RNG 70-79,AGRICULTURAL
PRIND,RNG 80-89,VACANT
PRIND,RNG 90-99,EXEMPT
BLDG,BUILDING CODE,bldg_code
BLDG,0,RESIDENTIAL
BLDG,0,TYPE UNKNOWN
BLDG,1,TYPE UNKNOWN
BLDG,1,TYPE UNKNOWN
BLDG,999,TYPE UNKNOWN
BLDG,A00,AGRICULTURAL
BLDG,A07,FRUIT
BLDG,A08,EGG
BLDG,A0A,DAIRY
BLDG,A0B,BUILDING
BLDG,A0G,HOUSE
BLDG,A0I,FARM
BLDG,A0L,CRIB
BLDG,A0M,BIN
BLDG,A0N,MILL
BLDG,A0Q,STORAGE
BLDG,A0U,OUT BUILDING
BLDG,A0Y,HATCHERY
BLDG,A0Z,RANCH
BLDG,A10,VINEYARD
BLDG,A1E,HOG HOUSE
BLDG,A2M,FERTILIZER BINS
BLDG,A2N,FERTILIZER BINS
BLDG,A37,ORCHARD FRUIT
BLDG,A40,COTTON GIN
BLDG,A50,QUONSET
BLDG,A5S,QUONSET SHED
BLDG,A60,GROVES
BLDG,A78,EQUIPMENT BUILDING
BLDG,A7B,EQUIPMENT BUILDING
BLDG,A7S,EQUIPMENT SHED
BLDG,A80,FAIRGROUND
BLDG,A9,REPAIR SERVICE
BLDG,AA0,BARN
BLDG,AA1,PACKING BARN
BLDG,AA7,BARN FRUIT
BLDG,AAA,DAIRY BARN
BLDG,AAB,BARN
BLDG,AAE,BARN HOG
BLDG,AAF,BARN FRAME
BLDG,AAH,HORSE BARN
BLDG,AAO,BARN
BLDG,AAP,BARN POLE
BLDG,AAS,BARN/SHED
BLDG,AAT,BARN SHEEP
BLDG,AB0,BUNKHOUSE
BLDG,AC9,CATTLE BARN
BLDG,ACK,CATTLE LOT
BLDG,ACS,CATTLE SHED
BLDG,AD0,CORRAL
BLDG,AE0,BEES
BLDG,AF0,FEED
BLDG,AF9,FEED BARN
BLDG,AFK,FEED LOT
BLDG,AFN,FEED MILL
BLDG,AFQ,FEED STORAGE
BLDG,AGG,CHICKEN HOUSE
BLDG,AH0,CREAMERY
BLDG,AI0,CRIBS/GRAIN
BLDG,AK,SERVICE GARAGE
BLDG,AK9,GRAIN BARN
BLDG,AKM,GRAIN BINS
BLDG,AKQ,GRAIN STORAGE
BLDG,AKY,GRAIN TANK
BLDG,AL9,HAY BARN
BLDG,ALS,HAY SHED
BLDG,AM0,APARTMENT
BLDG,AM9,MILK BARN
BLDG,AMG,MILK HOUSE
BLDG,AMR,MILK PARLOR
BLDG,AOB,BUILDING
BLDG,AOW,CITRUS CROPS
BLDG,AP0,PRODUCE
BLDG,AP6,PRODUCE PACKING
BLDG,APQ,PRODUCE STORAGE
BLDG,AQ0,AGRICULTURAL BUILDING
BLDG,AQQ,STORAGE BUILDING
BLDG,AR0,SHED
BLDG,ARE,SHED HOG
BLDG,AS7,SALES FRUIT
BLDG,ASA,SALES DAIRY
BLDG,AT0,POULTRY
BLDG,AT9,POULTRY BARN
BLDG,ATG,POULTRY HOUSE
BLDG,AU0,UTILITY
BLDG,AUB,UTILITY BUILDING
BLDG,AUQ,UTILITY STORAGE
BLDG,AUS,UTILITY SHED
BLDG,AV0,SILO
BLDG,AVF,FRAME SILO
BLDG,AW0,STABLE
BLDG,AW9,STABLE BARN
BLDG,AWF,STABLE FRAME
BLDG,AWH,STABLE HORSE
BLDG,AX3,TREE NUT
BLDG,AX5,TREE CHRISTMAS
BLDG,AX7,TREE FRUIT
BLDG,AXW,FIELD CROPS
BLDG,AY0,FARM
BLDG,AYA,FARM DAIRY
BLDG,AYC,FARM FISH
BLDG,AYG,FARM HOUSE
BLDG,AZL,CORN CRIB
BLDG,AZW,ROW CROPS
BLDG,C00,COMMERCIAL
BLDG,C03,GROCERY
BLDG,C04,MARKET
